playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8478498,J. DeBrusk,BOS,L,20714,20,3,5,1,45,17,10,1777,2470,4,22.7,W,F,3.95,1.14,0,61,69.53999999999999
8475231,C. Cizikas,NYI,C,15812,20,3,3,1,22,34,15,50,2572,-1,22.6,C,F,5.15,1.13,0,62,70.05999999999999
8479402,J. Bean,CBJ,D,20368,22,1,2,0,27,9,30,70,1014,-9,22.6,D,D,3.99,1.03,0,59,60.77
8480068,R. Poehling,PHI,C,13762,18,2,4,1,25,11,21,218,1442,-2,22.6,C,F,5.91,1.26,0,61,76.86
8483466,K. Korchinski,CHI,D,22270,19,2,4,2,20,0,23,2405,320,-7,22.5,D,D,3.64,1.18,0,63,74.33999999999999
8471218,B. Wheeler,NYR,R,15149,20,2,4,1,35,5,20,1044,2,-1,22.5,W,F,5.35,1.12,0,62,69.44000000000001
8476897,O. Sundqvist,STL,C,15859,20,2,6,2,24,20,14,434,2054,1,22.400000000000002,C,F,5.08,1.12,0,62,69.44000000000001
8481568,A. Vlasic,CHI,D,19418,17,0,3,0,22,11,32,59,2389,4,22.3,D,D,4.13,1.31,0,63,82.53
8477903,G. Hathaway,PHI,R,13689,21,2,1,1,23,59,17,167,1558,-4,22.2,W,F,5.84,1.06,0,61,64.66
8477987,R. Donato,CHI,C,16293,19,4,5,0,41,20,6,2500,11,1,22.1,C,F,4.88,1.16,0,63,73.08
8478831,K. Stenlund,FLA,C,16024,21,5,2,0,21,15,13,506,2516,1,22.1,C,F,4.97,1.05,0,61,64.05
8477488,B. Pesce,CAR,D,14422,12,1,1,0,20,6,33,234,1583,2,22.1,D,D,5.52,1.84,0,62,114.08
8481716,D. Voronkov,CBJ,L,13162,17,4,6,1,20,16,8,2074,1,2,22.1,W,F,6.04,1.3,0,59,76.7
8481186,L. O'Connor,COL,R,15402,19,3,4,3,22,13,14,21,2845,5,22.0,W,F,5.14,1.16,0,61,70.75999999999999
8476854,H. Lindholm,BOS,D,29746,21,1,4,2,35,5,22,1994,3116,5,22.0,D,D,2.66,1.05,0,61,64.05
8476419,J. Pageau,NYI,C,19551,20,0,6,2,21,39,18,1567,2249,-5,22.0,C,F,4.05,1.1,0,62,68.2
8478508,Y. Trenin,NSH,C,17947,19,4,1,0,36,53,8,499,2173,7,21.900000000000002,C,F,4.39,1.15,0,62,71.3
8475825,J. Hakanpää,DAL,D,21218,19,0,0,0,13,35,34,74,4210,4,21.8,D,D,3.7,1.15,0,63,72.44999999999999
8470621,C. Perry,CHI,R,14067,16,4,5,2,26,11,8,3706,0,-5,21.7,W,F,5.55,1.36,9,54,73.44000000000001
8478057,D. Joshua,VAN,C,15838,21,3,3,0,22,60,9,119,1828,4,21.7,C,F,4.93,1.03,0,60,61.800000000000004
8481553,B. Brink,PHI,R,14730,16,4,6,3,25,2,7,2700,0,3,21.7,W,F,5.3,1.36,0,61,82.96000000000001
8474586,J. Eberle,SEA,R,19616,19,3,8,2,41,5,4,2884,4,-5,21.6,W,F,3.96,1.14,0,60,68.39999999999999
8480172,J. Rutta,SJS,D,21225,19,0,1,0,15,10,36,273,3209,-11,21.5,D,D,3.65,1.13,0,60,67.8
8481537,N. Okhotiuk,SJS,D,13500,12,0,5,0,9,20,27,260,1210,-5,21.4,D,D,5.71,1.78,0,60,106.8
8477971,A. Englund,LAK,D,13997,19,1,5,0,8,41,19,3,1314,8,21.4,D,D,5.5,1.13,0,63,71.19
8482110,D. Mercer,NJD,C,20268,19,4,2,2,33,5,13,1750,2213,-6,21.3,C,F,3.78,1.12,0,63,70.56
8481560,A. Kaliyev,LAK,R,14612,17,4,6,3,35,8,3,2270,0,7,21.3,W,F,5.25,1.25,0,63,78.75
8476905,C. Stephenson,VGK,C,20233,18,2,9,5,19,9,6,3616,1874,-4,21.3,C,F,3.79,1.18,0,60,70.8
8481556,J. Beecher,BOS,C,13400,21,4,1,0,20,31,14,7,2132,-3,21.1,C,F,5.67,1.0,0,61,61.0
8477425,M. Wood,COL,L,15398,21,3,4,1,38,27,8,12,1501,0,21.0,W,F,4.91,1.0,0,61,61.0
8478975,M. Marchment,DAL,L,16061,19,4,6,1,33,16,3,1275,10,4,20.9,W,F,4.68,1.1,0,63,69.30000000000001
8475208,B. Dumoulin,SEA,D,20758,22,2,3,0,18,16,21,125,1766,-6,20.9,D,D,3.62,0.95,0,60,57.0
8481580,C. McMichael,WSH,C,15919,18,4,4,2,32,6,8,900,1299,0,20.8,C,F,4.7,1.16,0,64,74.24
8476312,J. Manson,COL,D,17350,18,0,1,1,22,31,28,44,3140,-2,20.8,D,D,4.32,1.16,0,61,70.75999999999999
8479398,S. Girard,COL,D,18552,15,1,3,0,18,15,25,748,2218,-7,20.8,D,D,4.04,1.39,23,38,52.81999999999999
8480222,S. Aho,NYI,D,16163,19,0,4,2,18,9,26,1197,392,-3,20.7,D,D,4.61,1.09,0,62,67.58
8475744,E. Kuznetsov,WSH,C,20851,16,4,5,2,41,1,5,3698,1807,-2,20.7,C,F,3.57,1.29,0,64,82.56
8473449,K. Okposo,BUF,R,18610,22,3,3,1,31,10,14,1060,2226,0,20.6,W,F,3.98,0.94,0,60,56.4
8482125,A. Holtz,NJD,R,13695,19,6,3,0,31,10,3,1516,0,-3,20.6,W,F,5.42,1.08,0,63,68.04
