"id,fullName"
"2976851,Mike Matheson"
"2976852,Malcolm Subban"
"2976854,Brendan Gaunce"
"2976856,Brady Skjei"
"2976857,Stefan Matteau"
"2976860,Tanner Pearson"
"2989376,Jordan Martinook"
"2992930,Kurtis MacDermid"
"2993474,Colton Sissons"
"3020225,Connor Hellebuyck"
"3020228,Jaycob Megna"
"3020230,Danny O'Regan"
"3020618,Jayson Megna"
"3020635,Matt Tennyson"
"3020803,Jake McCabe"
"3024646,Matthew Peca"
"3024784,Travis Boyd"
"3024796,Mike Reilly"
"3024798,Nate Schmidt"
"3024816,Austin Czarnik"
"3024819,Riley Barber"
"3024837,Chad Ruhwedel"
"3024855,Christian  Folin"
"3024916,Teddy Blueger"
"3025200,Andrej Sustr"
"3025524,Trevor van Riemsdyk"
"3025535,Brett Pesce"
"3025540,Casey DeSmith"
"3025590,Drake Caggiula"
"3025602,Kevin Gravel"
"3025605,Kalle Kossila"
"3025606,Ethan Prow"
"3025608,Nick Jensen"
"3025614,Jonny Brodzinski"
"3025616,Nic Dowd"
"3025651,Troy Grosenick"
"3025655,Josh Jooris"
"3025657,Daniel Carr"
"3025662,Shayne Gostisbehere"
"3025726,Buddy Robinson"
"3025991,Danny DeKeyser"
"3026225,Luke Witkowski"
"3026438,Jared Coreau"
"3026526,Laurent Brossoit"
"3031654,Charles Hudon"
"3032270,Mike Condon"
"3036851,Anton Forsberg"
"3037290,Michael Raffl"
"3037703,Antti Raanta"
"3041969,Nathan MacKinnon"
"3041970,Aleksander Barkov"
"3041971,Jonathan Drouin"
"3041991,Adam Erne"
"3041992,Seth Jones"
"3041993,Jacob De La Rose"
"3041994,Elias Lindholm"
"3041995,J.T. Compher"
"3041996,Sean Monahan"
"3041997,Darnell Nurse"
"3041998,Zach Fucale"
"3041999,Rasmus Ristolainen"
"3042002,Bo Horvat"
"3042003,Valeri Nichushkin"
"3042005,Laurent Dauphin"
"3042006,Remi Elie"
"3042012,Samuel Morin"
"3042013,Robert Hagg"
"3042014,Max Domi"
"3042015,Steven Santini"
"3042016,Josh Morrissey"
"3042017,Alex Wennberg"
"3042018,Nic Petan"
"3042019,Ryan Pulock"
"3042020,Tristan Jarry"
"3042021,Nikita Zadorov"
"3042023,Curtis Lazar"
"3042031,Gustav Olofsson"
