playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8478024,35,V. Husso,G,23/26,6/6,1/1,30/33,0.909,3,0,0,0,3,3600,DET,PIT,2023-10-18,Wednesday 07:30 PM,2023020050,1,0,4
8482221,27,D. Levi,G,23/27,8/8,1/1,32/36,0.889,4,0,0,0,4,3538,BUF,CGY,2023-10-19,Thursday 07:00 PM,2023020051,1,0,0
8475683,72,S. Bobrovsky,G,20/20,5/6,4/4,29/30,0.967,0,1,0,0,1,3600,FLA,TOR,2023-10-19,Thursday 07:00 PM,2023020052,1,0,4
8478048,31,I. Shesterkin,G,13/15,1/3,0/0,14/18,0.778,2,2,0,0,4,2031,NYR,NSH,2023-10-19,Thursday 07:00 PM,2023020053,1,0,0
8471734,32,J. Quick,G,9/9,0/0,0/0,9/9,1.0,0,0,0,0,0,1567,NYR,NSH,2023-10-19,Thursday 07:00 PM,2023020053,0,0,0
8479394,79,C. Hart,G,17/18,4/4,1/1,22/23,0.957,1,0,0,0,1,3600,PHI,EDM,2023-10-19,Thursday 07:30 PM,2023020054,1,0,4
8477992,31,J. Johansson,G,24/27,1/1,1/1,26/29,0.897,3,0,0,0,3,3600,TBL,VAN,2023-10-19,Thursday 07:00 PM,2023020055,1,0,4
8470594,29,M. Fleury,G,19/24,0/0,1/1,20/25,0.8,5,0,0,0,5,3511,MIN,LAK,2023-10-19,Thursday 08:00 PM,2023020056,1,0,0
8480981,30,J. Hofer,G,31/34,3/6,2/2,36/42,0.857,3,3,0,0,6,3589,STL,ARI,2023-10-19,Thursday 08:00 PM,2023020057,1,0,0
8476316,39,L. Brossoit,G,20/22,2/4,0/0,22/26,0.846,2,2,0,0,4,3564,WPG,VGK,2023-10-19,Thursday 08:00 PM,2023020058,1,0,0
8476434,36,J. Gibson,G,20/21,0/2,1/1,21/24,0.875,1,2,0,0,3,3467,ANA,DAL,2023-10-19,Thursday 10:00 PM,2023020059,1,0,0
8478916,35,J. Daccord,G,29/32,3/4,0/0,32/36,0.889,3,1,0,0,4,3587,SEA,CAR,2023-10-19,Thursday 10:00 PM,2023020060,1,0,4
8480382,40,A. Georgiev,G,15/15,2/2,1/1,18/18,1.0,0,0,0,0,0,3600,COL,CHI,2023-10-19,Thursday 10:30 PM,2023020061,1,1,4
8478039,36,K. Kahkonen,G,26/29,3/3,4/4,33/36,0.917,3,0,0,0,3,3392,SJS,BOS,2023-10-19,Thursday 10:30 PM,2023020062,1,0,0
8477484,30,S. Martin,G,29/29,6/6,1/2,36/37,0.973,0,0,1,0,1,3600,CBJ,CGY,2023-10-20,Friday 07:00 PM,2023020063,1,0,4
8478009,30,I. Sorokin,G,29/30,3/7,2/2,34/39,0.872,1,4,0,0,5,3707,NYI,NJD,2023-10-20,Friday 07:30 PM,2023020064,1,0,1
8476914,70,J. Korpisalo,G,13/15,3/6,2/2,18/23,0.783,2,3,0,0,5,3576,OTT,DET,2023-10-21,Saturday 01:00 PM,2023020065,1,0,0
8478872,70,K. Vejmelka,G,22/22,9/10,1/1,32/33,0.97,0,1,0,0,1,3518,ARI,ANA,2023-10-21,Saturday 04:00 PM,2023020066,1,0,4
8477480,31,E. Comrie,G,19/20,5/5,0/0,24/25,0.96,1,0,0,0,1,3600,BUF,NYI,2023-10-21,Saturday 07:00 PM,2023020067,1,0,4
8475683,72,S. Bobrovsky,G,17/19,8/10,1/1,26/30,0.867,2,2,0,0,4,3548,FLA,VAN,2023-10-21,Saturday 07:00 PM,2023020068,1,0,0
8474596,34,J. Allen,G,23/25,7/7,1/1,31/33,0.939,2,0,0,0,2,3647,MTL,WSH,2023-10-21,Saturday 07:00 PM,2023020069,1,0,4
8477992,31,J. Johansson,G,42/46,4/4,2/2,48/52,0.923,4,0,0,0,4,3845,TBL,TOR,2023-10-21,Saturday 07:00 PM,2023020070,1,0,1
8482821,40,A. Soderblom,G,15/18,3/5,1/1,19/24,0.792,3,2,0,0,5,3600,CHI,VGK,2023-10-21,Saturday 08:00 PM,2023020071,1,0,0
8475809,41,S. Wedgewood,G,32/33,3/3,1/4,36/40,0.9,1,0,3,0,4,3733,DAL,PHI,2023-10-21,Saturday 08:00 PM,2023020072,1,0,4
8479406,32,F. Gustavsson,G,38/42,10/11,1/1,49/54,0.907,4,1,0,0,5,3782,MIN,CBJ,2023-10-21,Saturday 08:00 PM,2023020073,1,0,1
8477424,74,J. Saros,G,24/25,6/6,1/1,31/32,0.969,1,0,0,0,1,3600,NSH,SJS,2023-10-21,Saturday 08:00 PM,2023020074,1,0,4
8476412,50,J. Binnington,G,28/30,3/3,0/0,31/33,0.939,2,0,0,0,2,3600,STL,PIT,2023-10-21,Saturday 08:00 PM,2023020075,1,0,4
